"Year","Month","Catch.kg","Effort.ntrips","MeanWeight.kg"
2014,1,160505.57090935,812,101.147205196986
2014,2,267355.221818174,778,158.563209044988
2014,3,252019.72818232,1545,172.959499435894
2014,4,322910.13636066,1589,140.458949136946
2014,5,205160.481817991,1705,161.310117692149
2014,6,226018.53181789,1476,141.896263338002
2014,7,117182.60272688,1831,136.484215980673
2014,8,121730.08909084,1330,116.889694359975
2014,9,162562.99363631,1729,109.745521750017
2014,10,187193.98454559,2010,102.783172033802
2014,11,287788.35090891,1339,86.7327091746787
2014,12,363649.75727313,1377,81.7074702229595
2015,1,137178.50636141,869,95.9433392713156
2015,2,258315.24817463,953,121.232661016035
2015,3,345279.55636375,1484,160.884104276525
2015,4,204870.771826,1605,146.799522795607
2015,5,188383.58272198,1583,125.763896106048
2015,6,134427.82090669,1473,147.541671056778
2015,7,144800.91363542,2277,142.228131978039
2015,8,183405.247679221,1868,118.507204165808
2015,9,67678.730907152,1671,122.778181779248
2015,10,216326.30000032,2744,97.2828744148156
2015,11,144082.279091311,2456,107.195942671042
2015,12,372233.84545503,2980,111.225165981906
2016,1,196015.30999961,2914,103.108691777182
2016,2,270958.97999828,2278,108.915224799467
2016,3,268297.21540491,3601,107.714331400122
2016,4,103326.63545433,2680,129.695736998674
2016,5,162172.3718174,3048,133.679359596766
2016,6,182291.30272816,2768,117.3248934359
2016,7,145967.81181931,2891,122.30341822477
2016,8,122087.7109099,3171,104.330680118409
2016,9,86895.8136379,3341,82.0863057800822
2016,10,147304.79181776,2254,82.8535547257447
2016,11,182390.31545374,1479,97.6226934401991
2016,12,211291.66316396,1655,82.8544709322528
2017,1,118021.324544555,2924,102.188745541246
2017,2,123945.553637811,2697,101.630607831158
2017,3,184603.47272952,2851,104.966341911369
2017,4,229170.587270724,2531,106.27165914759
2017,5,248347.8918222,3238,129.190250994732
2017,6,309372.07272606,2740,143.637231329053
2017,7,237096.48454844,2852,122.700451137029
2017,8,126772.806360261,2708,129.841776917971
2017,9,143252.047270658,2650,104.504689306171
2017,10,173443.943637623,2420,81.3675796121636
2017,11,218826.01423683,2429,72.9512950670402
2017,12,247237.96363612,2374,81.7232901144581
2018,1,146335.05999777,4168,104.069768174948
2018,2,272987.45000119,2767,136.583441963626
2018,3,175932.206361561,2223,126.449018301006
2018,4,280739.00181566,2098,125.001333932497
2018,5,261222.75817645,1944,106.023518238159
2018,6,256018.734545506,2264,111.496025201611
2018,7,101799.98727289,1719,99.9444389530039
2018,8,128122.210909431,1691,97.3889841144084
2018,9,145525.7727259,1517,92.6259062129691
2018,10,178667.823638821,1790,95.3949800473418
2018,11,180273.02545469,1654,98.7992487887384
2018,12,368384.699090315,1778,85.4236091250668
2019,1,130087,874,76.9697743857335
2019,2,309377.4,1110,84.931383158621
2019,3,161197.7,627,93.5573321796233
2019,4,4398,46,133.133992020965
2019,5,167922.1,1425,127.903344186924
2019,6,172543.2,1702,113.81117744709
2019,7,76685.4,1737,97.5631850980085
2019,8,67133.5,1521,110.976220972752
2019,9,73012.2,1164,95.4414712462276
2019,10,72460.1,1684,73.7275780479678
2019,11,53772,1634,81.0059186393423
2019,12,69514.9,1329,88.1996882973261
2020,1,39153.1,1484,76.5274123983191
2020,2,75660.5,1214,100.06298916451
2020,3,295148.3,1280,116.647036358257
2020,4,118921,759,160.884104276525
2020,5,309677.5,1584,106.023518238159
2020,6,256697.3,2422,136.484215980673
2020,7,198871.2,2202,95.7010225294904
2020,8,364196.9,1975,111.4966774737
2020,9,237877.5,2191,111.705150327373
2020,10,221325,2264,82.9545345193235
2020,11,341348.6,2308,83.55907583033
2020,12,496894.8,2501,77.1511896322131
2021,1,265873.36,2964,74.3452688547022
2021,2,269446.49,3510,96.718092186274
2021,3,361205.32,3021,117.682798245068
2021,4,325239.9,2094,132.308750798851
2021,5,351875.69,3176,120.764928665064
2021,6,233424.4,3201,134.543886140337
2021,7,276943.2,2840,119.856065544211
2021,8,247864.61,3051,104.806551676812
2021,9,452201.35,2881,82.6669293415608
2021,10,360460.4,2912,91.2127582516819
2021,11,495656,3033,78.7152251457689
2021,12,669171.56,3080,94.0450295935656
2022,1,403951.8,4112,101.280719314964
2022,2,446069.9,4778,104.723854478117
2022,3,463369.7,3508,93.0234269490426
2022,4,418689.6,3105,107.129588297026
2022,5,447226,3124,95.7010225294904
2022,6,490128.4,2863,96.0937803447802
2022,7,402898.5,2897,90.3277467183678
2022,8,316666,2744,85.915449778125
2022,9,297391.8,2693,87.4376079550718
2022,10,303674,2711,85.3711277675014
2022,11,391850,2137,98.6870804733558
2022,12,431282.4,2682,109.304602653341
